STL,English,Type
"always ( (J J > 3 and J J < 4) and W 2 == R Y o U _ 1 -> eventually [0:2] (always [0:9] (o d m == 71)) )","During the interval that J J stays larger than 3 and below 4, and the W 2 signal is in R Y o U _ 1 then the following condition holds: after a certain time point within 2 time units, o d m will have to be 71 and then should keep like that uninterruptedly for every moment during the following 9 time units.","stabilization_recurrence"
"always ( (t > 1 and t < 2) and w a O == P g 4 r 9 7 6 M K _ -> eventually [0:11.91] (always [0:4.04] (F h a R 7 t t == 5.3)) )","Globally, while t stays larger than 1 and below 2, and the state of w a O is P g 4 r 9 7 6 M K _, then the following condition holds: at a time after at most 11.91 time units, consistently the value of signal F h a R 7 t t will have to be 5.3 for every time instant within the coming 4.04 time units.","stabilization_recurrence"
"always ( (W C > 6.55 and W C < 9.1) and B D R 1 x 9 Z V 4 s == r v t Q -> eventually [0:10] (always [0:9] (r m 1 u l == 4)) )","If the value of W C keeps larger than 6.55 and below 9.1 and the state of B D R 1 x 9 Z V 4 s is r v t Q, then all of the following conditions are true: eventually after a time within the coming 10 time units, the value of r m 1 u l has to be equal to 4 and this condition ought to consecutively hold for each time instant within the next 9 time units.","stabilization_recurrence"
"always ( (k z L Z O J > 55.42 and k z L Z O J < 85.51) and D u == K g K _ G E -> eventually [0:10] (always [0:62.2] (m 8 q 5 z == 4)) )","In the event that the value of signal k z L Z O J is greater than 55.42 and less than 85.51 and the D u signal is in K g K _ G E, then ultimately there shall be a certain time instant in the following 10 time units, at which m 8 q 5 z will have to be 4 and then should keep like that uninterruptedly for every moment during the following 62.2 time units.","stabilization_recurrence"
"always ( (A w > 1858 and A w < 2201) and W H w L W 5 d O D == f r 1 r R W 5 C h l -> eventually [0:1] (always [0:8.8] (K S h E == 3.2)) )","When the value of signal A w is greater than 1858 and less than 2201 and the state of signal W H w L W 5 d O D is set to f r 1 r R W 5 C h l, then the following condition is true: ultimately there should be a time in the first 1 time units, at which the value of K S h E has to be equal to 3.2 and then consecutively this scenario will have to keep for every moment during the following 8.8 time units.","stabilization_recurrence"
"always ( g M 8 < 89.1 -> always (eventually [0:3] (fall (c o a I x Y _ w == d q))) )","Globally, everytime when the g M 8 signal is smaller than 89.1, then all of the following conditions hold: for each time point in the future before the simulation ends, eventually there should be sometime during the first 3 time units, at which the transition action that the mode of c o a I x Y _ w deviates from d q is observed.","stabilization_recurrence"
"always ( g t X 8 T < 82 -> always (eventually [0:3.5] (fall (l D J m == Z i 7))) )","Globally, when the value of g t X 8 T is smaller than 82, then for each time instant in the future before the end of the simulation ultimately at a certain time instant in the coming 3.5 time units, the event that l D J m starts deviating from Z i 7 will happen.","stabilization_recurrence"
"always ( T v < 380.7 -> always (eventually [0:2035] (fall (y s d W == I t J K c s H T 5))) )","Globally, while the value of signal T v is less than 380.7, then the following condition holds: for each time instant in the future before the end of the simulation there must be a certain time instant within the coming 2035 time units, at which the transition action that y s d W deviates from I t J K c s H T 5 must get observed.","stabilization_recurrence"
"always ( M u d i S c j l < 12.28 -> always (eventually [0:1466] (fall (_ == g))) )","In the case the M u d i S c j l signal is less than 12.28, then the following condition holds: for each time point in the future before the execution ends there ought to be a certain moment in the subsequent 1466 time units ultimately, at which the scenario that the state of _ starts deviating from g will be observed.","stabilization_recurrence"
"always ( L 7 H I p _ 1 < 13.89 -> always (eventually [0:2.8] (fall (e j m J J 9 D Q u K == n P f c q _))) )","In the case the value of L 7 H I p _ 1 is smaller than 13.89, then all of the following conditions are true: for each time instant in the future before the end of the simulation at sometime during the next 2.8 time units the scenario that the state of signal e j m J J 9 D Q u K leaves n P f c q _ will get observed.","stabilization_recurrence"
"always [0:4] (H >= 24)","For every moment within the first 4 time units, the value of H ought to keep greater than or equal to 24 all the time.","invariance_reachability"
"always [0:735.3] (l W m u r V >= 31)","The value of signal l W m u r V should always stay no less than 31 for each time point in the first 735.3 time units.","invariance_reachability"
